title,isCult
Gandahar,1
Le Grand Bleu (The Big Blue),1
Hairspray,1
Heathers,1
Hēi tài yáng 731 (Men Behind the Sun),1
Hell Comes to Frogtown,1
Hobgoblins,1
Killer Klowns from Outer Space,1
The Lair Of The White Worm,1
Let's Get Lost,1
Maniac Cop,1
Married to the Mob,1
Miracle Mile,1
Moonwalker,1
The Naked Gun trilogy,1
Nuovo Cinema Paradiso (also known as Cinema Paradiso),1
Pumpkinhead,1
Spoorloos (The Vanishing),1
Taffin,1
Tapeheads (also known as Corrupt and/or The Order of Death),1
They Live,1
Tonari no Totoro (My Neighbor Totoro),1
White Mischief,1
Willow,1
100 Jahre Adolf Hitler (100 Years of Adolf Hitler),1
The Adventures of Baron Munchhausen,1
Apartment Zero,1
Bill & Ted's Excellent Adventure,1
Bloodfist,1
Coming Out,1
"The Cook, the Thief, His Wife & Her Lover",1
The Dead Pit,1
Drugstore Cowboy,1
Gleaming the Cube,1
How to Get Ahead in Advertising,1
The Killer,1
Marquis,1
Meet the Feebles,1
Mystery Train,1
Puppet Master,1
Roadhouse,1
Roger & Me,1
Rosencrantz and Guildenstern are Dead,1
Santa Sangre,1
Say Anything...,1
Society,1
Spalovač mrtvol (The Cremator),1
Sundown: The Vampire in Retreat,1
Tetsuo: The Iron Man,1
Theo en Thea en de ontmaskering van het tenenkaasimperium (Theo and Thea and the exposure of the toe jam imperium),1
UHF,1
Vampire's Kiss,1
Warlock,1
The Wizard,1
Begotten,1
Circuitry Man,1
Cry-Baby,1
Darkman,1
Edward Scissorhands,1
Frankenhooker,1
Gremlins 2: The New Batch,1
Hardware,1
I Bought a Vampire Motorcycle,1
Jacob's Ladder,1
The Kill-Off,1
King of New York,1
Miami Blues,1
Miller's Crossing,1
Nightbreed,1
Pump Up the Volume,1
Quick Change,1
Singapore Sling: O Anthropos pou Agapise ena Ptoma (also shortened as just Singapore Sling),1
Tremors,1
Troll 2,1
Trust,1
Wild at Heart,1
1991: The Year Punk Broke,1
Les Amants du Pont Neuf (The Lovers on the Bridge),1
Barton Fink,1
Boyz N the Hood,1
The Dark Backward,1
Daughters of the Dust,1
Delicatessen,1
Don't Tell Mom the Babysitter's Dead,1
Drop Dead Fred,1
Europa (Zentropa),1
The Fisher King,1
Hudson Hawk,1
Intensive Care,1
Johnny Suede,1
Kafka,1
Kit Kat,1
Kouř (Smoke),1
My Own Private Idaho,1
Naked Lunch,1
Naked Tango,1
New Jack City,1
The People Under the Stairs,1
Point Break,1
The Rapture,1
Riki-Oh: The Story of Ricky,1
Samurai Cop,1
Showdown in Little Tokyo,1
Slacker,1
Sólo Con Tu Pareja (Love in the Time of Hysteria),1
Thelma & Louise,1
To Sleep with Anger,1
Trancers II,1
Vegas in Space,1
Wax or the Discovery of Television Among the Bees,1
Army of Darkness,1
Bad Lieutenant,1
Braindead,1
C'est Arrivé Près De Chez Vous (Man Bites Dog),1
Careful,1
Diggstown,1
Gayniggers from Outer Space,1
Glengarry Glen Ross,1
Hard Boiled,1
Highway to Hell,1
The Lawnmower Man,1
Newsies,1
Noises Off,1
De Noordelingen (The Northerners),1
Les Nuits Fauves (Savage Nights),1
"Psy (Pigs, also translated as Dogs)",1
Reservoir Dogs,1
River's Edge,1
Shakes the Clown,1
Storyville,1
Toys,1
Trancers III,1
Trespass,1
The Tune,1
Twin Peaks: Fire Walk with Me,1
Universal Soldier,1
Wayne's World,1
The Ballad of Little Jo,1
Batman: Mask of the Phantasm,1
Benny and Joon,1
Blood In Blood Out (also known as Bound by Honor),1
Boxing Helena,1
Cannibal! The Musical,1
La Classe américaine (also known as Le Grand Détournement),1
Cronos,1
Dazed and Confused,1
Groundhog Day,1
Hard Target,1
Hocus Pocus,1
